datetime,generator_1_t+15_pred,generator_1_t+30_pred,generator_1_t+45_pred,generator_1_t+60_pred,generator_1_t+75_pred,generator_1_t+90_pred,generator_1_t+105_pred,generator_1_t+120_pred,generator_all_t+15_pred,generator_all_t+30_pred,generator_all_t+45_pred,generator_all_t+60_pred,generator_all_t+75_pred,generator_all_t+90_pred,generator_all_t+105_pred,generator_all_t+120_pred
2025-05-01 00:00:00,103.73909614081246,104.1277296000788,104.0239086348314,104.11192427883309,103.98482171558044,103.6267924710219,103.75748694397755,103.50847524402346,317.15272936376624,317.39686075486946,317.2305014996826,317.1769554736059,317.10376880440475,317.62879055119686,318.7579278136744,319.63308492986147
2025-05-01 00:15:00,102.96786494361244,103.20487553424752,103.0149538020743,103.31134919894026,103.10509118590736,102.89442919252576,102.73133159892684,102.8559280882623,320.889675954909,321.2782478992152,321.374583215616,322.2716332115561,322.6143808505286,323.3388796883252,324.1250967996294,325.73320574653803
2025-05-01 00:30:00,103.2393990852897,103.5477267545895,103.51520952646304,103.84326614936263,103.9507935734364,103.68497691515933,103.92439925986096,104.3695608317302,320.06694016508914,321.0439549296915,321.6146509598444,322.74128037890216,323.7699753508205,324.5456417573655,326.1022355786131,328.53609050092484
2025-05-01 00:45:00,103.06908393237757,103.19931012530996,103.2603706376915,103.66511986124772,103.56632319969874,103.16087391857091,103.66657256223428,103.64082672425938,321.1514470870083,321.6762408055545,322.2227766958162,323.285849945988,324.3408568483621,324.7868604678439,326.0257862785942,328.0158850396462
2025-05-01 01:00:00,103.48453695966523,103.696183637712,103.9463309919583,103.99489889915938,104.04297310414448,104.30797589654406,104.5080141225484,104.37182536786416,320.65876117296654,321.5530203571059,322.34837418603473,323.4253245781356,324.77874508010706,326.16549234395325,326.8075711832532,328.09277781367376
2025-05-01 01:15:00,103.9991087349786,104.5463758868734,104.7098659760488,104.87468245200589,105.26179554137332,105.07594493007846,105.30668303686129,105.52377248568068,323.3811519845794,325.3632773783341,325.4243720604589,326.84168660734093,328.0449312598444,328.4492700378049,328.69590630210286,330.01224766192325
2025-05-01 01:30:00,111.80542257376553,111.60622445761936,112.14614354243218,112.0588578207474,111.88348067353678,111.72240559948648,111.5679335605156,111.137166403933,340.3130343623039,340.31801901792346,340.4189850212236,340.5225776600035,340.5318797183813,340.5449666625336,340.56287047520266,340.57244325534424
2025-05-01 01:45:00,119.88876252175012,119.8694215881932,119.85069952204874,119.88687592043988,119.34217760821451,118.76555685440984,118.63534536728967,117.88879681915326,349.3386294552634,349.38929184980395,349.4566203537984,349.4432024358164,349.4587423182785,349.40668992211533,349.27681106380857,349.2540020943429
2025-05-01 02:00:00,118.72998327069398,119.19007912964396,118.62855284768928,118.68120980929154,118.19008536855478,117.86682120711876,118.06432239625433,116.94834968142057,349.6737258323061,349.7002053021643,349.6445918787473,349.5678769138306,349.5601115745639,349.5706061485238,349.6661855500963,349.667148859293
2025-05-01 02:15:00,115.59078673074222,115.2012366427598,114.81078595346531,114.90280233798217,114.24561542634,114.44642406596292,113.88783795673643,113.60223251601322,346.03122773110755,345.9357690528145,345.8011264156876,345.72173771854875,345.7112203838223,345.79565230586314,345.81375500777625,345.8176701167785
