datetime,generator_1_t+15_pred,generator_1_t+30_pred,generator_1_t+45_pred,generator_1_t+60_pred,generator_1_t+75_pred,generator_1_t+90_pred,generator_1_t+105_pred,generator_1_t+120_pred,generator_all_t+15_pred,generator_all_t+30_pred,generator_all_t+45_pred,generator_all_t+60_pred,generator_all_t+75_pred,generator_all_t+90_pred,generator_all_t+105_pred,generator_all_t+120_pred
2025-05-01 00:00:00,102.64561000000008,103.30327600000007,103.04097000000007,103.63095000000007,104.22092400000007,112.22404000000009,120.08821000000009,118.79053000000009,319.26917,319.7081,319.96362,319.5143,321.8321000000001,340.2270500000001,349.17510000000004,349.76220000000006
2025-05-01 00:15:00,103.30327600000007,103.04097000000007,103.63095000000007,104.22092400000007,112.22404000000009,120.08821000000009,118.79053000000009,115.40634000000009,319.7081,319.96362,319.5143,321.8321000000001,340.2270500000001,349.17510000000004,349.76220000000006,346.05167000000006
2025-05-01 00:30:00,103.04097000000007,103.63095000000007,104.22092400000007,112.22404000000009,120.08821000000009,118.79053000000009,115.40634000000009,116.72095000000009,319.96362,319.5143,321.8321000000001,340.2270500000001,349.17510000000004,349.76220000000006,346.05167000000006,345.80910000000006
2025-05-01 00:45:00,103.63095000000007,104.22092400000007,112.22404000000009,120.08821000000009,118.79053000000009,115.40634000000009,116.72095000000009,118.55720500000008,319.5143,321.8321000000001,340.2270500000001,349.17510000000004,349.76220000000006,346.05167000000006,345.80910000000006,349.98584000000005
2025-05-01 01:00:00,104.22092400000007,112.22404000000009,120.08821000000009,118.79053000000009,115.40634000000009,116.72095000000009,118.55720500000008,119.24791000000009,321.8321000000001,340.2270500000001,349.17510000000004,349.76220000000006,346.05167000000006,345.80910000000006,349.98584000000005,336.59683000000007
2025-05-01 01:15:00,112.22404000000009,120.08821000000009,118.79053000000009,115.40634000000009,116.72095000000009,118.55720500000008,119.24791000000009,115.94169000000008,340.2270500000001,349.17510000000004,349.76220000000006,346.05167000000006,345.80910000000006,349.98584000000005,336.59683000000007,332.51462000000004
2025-05-01 01:30:00,120.08821000000009,118.79053000000009,115.40634000000009,116.72095000000009,118.55720500000008,119.24791000000009,115.94169000000008,117.46919000000008,349.17510000000004,349.76220000000006,346.05167000000006,345.80910000000006,349.98584000000005,336.59683000000007,332.51462000000004,332.39865000000003
2025-05-01 01:45:00,118.79053000000009,115.40634000000009,116.72095000000009,118.55720500000008,119.24791000000009,115.94169000000008,117.46919000000008,118.41244500000009,349.76220000000006,346.05167000000006,345.80910000000006,349.98584000000005,336.59683000000007,332.51462000000004,332.39865000000003,333.2833600000001
2025-05-01 02:00:00,115.40634000000009,116.72095000000009,118.55720500000008,119.24791000000009,115.94169000000008,117.46919000000008,118.41244500000009,119.39758000000009,346.05167000000006,345.80910000000006,349.98584000000005,336.59683000000007,332.51462000000004,332.39865000000003,333.2833600000001,330.75640000000004
2025-05-01 02:15:00,116.72095000000009,118.55720500000008,119.24791000000009,115.94169000000008,117.46919000000008,118.41244500000009,119.39758000000009,115.46496600000009,345.80910000000006,349.98584000000005,336.59683000000007,332.51462000000004,332.39865000000003,333.2833600000001,330.75640000000004,325.82320000000004
2025-05-01 02:30:00,118.55720500000008,119.24791000000009,115.94169000000008,117.46919000000008,118.41244500000009,119.39758000000009,115.46496600000009,111.21412000000007,349.98584000000005,336.59683000000007,332.51462000000004,332.39865000000003,333.2833600000001,330.75640000000004,325.82320000000004,321.45883000000003
2025-05-01 02:45:00,119.24791000000009,115.94169000000008,117.46919000000008,118.41244500000009,119.39758000000009,115.46496600000009,111.21412000000007,111.53805000000007,336.59683000000007,332.51462000000004,332.39865000000003,333.2833600000001,330.75640000000004,325.82320000000004,321.45883000000003,322.3803700000001
2025-05-01 03:00:00,115.94169000000008,117.46919000000008,118.41244500000009,119.39758000000009,115.46496600000009,111.21412000000007,111.53805000000007,107.19701400000007,332.51462000000004,332.39865000000003,333.2833600000001,330.75640000000004,325.82320000000004,321.45883000000003,322.3803700000001,318.953
2025-05-01 03:15:00,117.46919000000008,118.41244500000009,119.39758000000009,115.46496600000009,111.21412000000007,111.53805000000007,107.19701400000007,120.83819000000008,332.39865000000003,333.2833600000001,330.75640000000004,325.82320000000004,321.45883000000003,322.3803700000001,318.953,330.77230000000003
